"Time (s)","Pressure (hPa)"
1.008690547E1,1.006290100E3
1.012535762E1,1.006300415E3
1.016387080E1,1.006300415E3
1.020223140E1,1.006300415E3
1.024095820E1,1.006300415E3
1.027913570E1,1.006300415E3
1.031764888E1,1.006307373E3
1.035607051E1,1.006307373E3
1.039452266E1,1.006307373E3
1.043297481E1,1.006307373E3
1.047142696E1,1.006312500E3
1.050987910E1,1.006312500E3
1.054833125E1,1.006312500E3
1.058681392E1,1.006312500E3
1.062523555E1,1.006317749E3
1.066384029E1,1.006317749E3
1.070213985E1,1.006317749E3
1.074056148E1,1.006317749E3
1.077904414E1,1.006317749E3
1.081749629E1,1.006326355E3
1.085597896E1,1.006326355E3
1.089440059E1,1.006326355E3
1.093282222E1,1.006326355E3
1.097130488E1,1.006331909E3
1.100975703E1,1.006331909E3
1.104820918E1,1.006331909E3
1.108669185E1,1.006331909E3
1.112511348E1,1.006337036E3
1.116387080E1,1.006337036E3
1.120204829E1,1.006337036E3
1.124046992E1,1.006337036E3
1.127889156E1,1.006337036E3
1.131737422E1,1.006342224E3
1.135579585E1,1.006342224E3
1.139424800E1,1.006342224E3
1.143279170E1,1.006342224E3
1.147118282E1,1.006347046E3
1.150963496E1,1.006347046E3
1.154808711E1,1.006347046E3
1.158672237E1,1.006347046E3
1.162499141E1,1.006356079E3
1.166341304E1,1.006356079E3
1.170189570E1,1.006356079E3
1.174037837E1,1.006356079E3
1.177880000E1,1.006356079E3
1.181725215E1,1.006348816E3
1.185567378E1,1.006348816E3
1.189415645E1,1.006348816E3
1.193260860E1,1.006348816E3
1.197106074E1,1.006352600E3
1.200963496E1,1.006352600E3
1.204796504E1,1.006352600E3
1.208641719E1,1.006352600E3
1.212489986E1,1.006343628E3
1.216332149E1,1.006343628E3
1.220177364E1,1.006343628E3
1.224019527E1,1.006343628E3
1.227864741E1,1.006343628E3
1.231713008E1,1.006342957E3
1.235555171E1,1.006342957E3
1.239403438E1,1.006342957E3
1.243254756E1,1.006342957E3
1.247096919E1,1.006344666E3
1.250963496E1,1.006344666E3
1.254784297E1,1.006344666E3
1.258632564E1,1.006344666E3
1.262474727E1,1.006347473E3
1.266316890E1,1.006347473E3
1.270165156E1,1.006347473E3
1.274010371E1,1.006347473E3
1.277880000E1,1.006347473E3
1.281700801E1,1.006352661E3
1.285546016E1,1.006352661E3
1.289394283E1,1.006352661E3
1.293260860E1,1.006352661E3
1.297084712E1,1.006354004E3
1.300926875E1,1.006354004E3
1.304772090E1,1.006354004E3
1.308617305E1,1.006354004E3
1.312462520E1,1.006361267E3
1.316310786E1,1.006361267E3
1.320152950E1,1.006361267E3
1.323995113E1,1.006361267E3
1.327843379E1,1.006361267E3
1.331691646E1,1.006364746E3
1.335552119E1,1.006364746E3
1.339382075E1,1.006364746E3
1.343230342E1,1.006364746E3
1.347069453E1,1.006371643E3
1.350914668E1,1.006371643E3
1.354759883E1,1.006371643E3
1.358687495E1,1.006371643E3
1.362453365E1,1.006376831E3
1.366295528E1,1.006376831E3
1.370140742E1,1.006376831E3
1.373989009E1,1.006376831E3
1.377846431E1,1.006376831E3
1.381676387E1,1.006382019E3
1.385521602E1,1.006382019E3
1.389366817E1,1.006382019E3
1.393212032E1,1.006382019E3
1.397057246E1,1.006380249E3
1.400905513E1,1.006380249E3
1.404747676E1,1.006380249E3
1.408592891E1,1.006380249E3
1.412438106E1,1.006386108E3
1.416283320E1,1.006386108E3
1.420134639E1,1.006386108E3
1.423976802E1,1.006386108E3
1.427843379E1,1.006386108E3
1.431670283E1,1.006395386E3
1.435509395E1,1.006395386E3
1.439461421E1,1.006395386E3
1.443199824E1,1.006395386E3
1.447045039E1,1.006400574E3
1.450890254E1,1.006400574E3
1.454732417E1,1.006400574E3
1.458580684E1,1.006400574E3
1.462425899E1,1.006406128E3
1.466274165E1,1.006406128E3
1.470131587E1,1.006406128E3
1.473961543E1,1.006406128E3
1.477806758E1,1.006406128E3
1.481651973E1,1.006411316E3
1.485497188E1,1.006411316E3
1.489345454E1,1.006411316E3
1.493190669E1,1.006411316E3
1.497032832E1,1.006415405E3
1.500878047E1,1.006415405E3
1.504723262E1,1.006415405E3
1.508568477E1,1.006415405E3
1.512419795E1,1.006424438E3
1.516265010E1,1.006424438E3
1.520293330E1,1.006424438E3
1.523949336E1,1.006424438E3
1.527794551E1,1.006424438E3
1.531639766E1,1.006430237E3
1.535484981E1,1.006430237E3
1.539330196E1,1.006430237E3
1.543175410E1,1.006430237E3
1.547026729E1,1.006440918E3
1.550865840E1,1.006440918E3
1.554711055E1,1.006440918E3
1.558559322E1,1.006440918E3
1.562419795E1,1.006441956E3
1.566249751E1,1.006441956E3
1.570091914E1,1.006441956E3
1.573940181E1,1.006441956E3
1.577782344E1,1.006441956E3
