"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.799011230E-1,-9.786682129E-1,7.202453613E-1,9.370300293E0
1.822204590E-1,-9.451599121E-1,7.034912109E-1,9.365509033E0
1.845703120E-1,-9.260253906E-1,7.010955811E-1,9.353546143E0
1.868896480E-1,-8.997039795E-1,6.939239502E-1,9.355941772E0
1.892395020E-1,-8.733825684E-1,6.891326904E-1,9.353546143E0
1.915588370E-1,-8.638153076E-1,6.652069092E-1,9.348754883E0
1.939086910E-1,-8.422698975E-1,6.508483887E-1,9.336791992E0
1.962280270E-1,-8.350982666E-1,6.508483887E-1,9.327224731E0
1.985778800E-1,-8.207397461E-1,6.532440186E-1,9.288940430E0
2.008972160E-1,-8.303070068E-1,6.436767578E-1,9.281753540E0
2.032470700E-1,-8.327026367E-1,6.436767578E-1,9.284149170E0
2.055969230E-1,-8.398742676E-1,6.556396484E-1,9.291336060E0
2.079162590E-1,-8.494567871E-1,6.532440186E-1,9.308074951E0
2.102661130E-1,-8.542327881E-1,6.628112793E-1,9.341583252E0
2.125854490E-1,-8.685913086E-1,6.556396484E-1,9.363113403E0
2.149353020E-1,-8.566284180E-1,6.771697998E-1,9.391830444E0
2.172546380E-1,-8.638153076E-1,6.652069092E-1,9.430114746E0
2.196044920E-1,-8.709869385E-1,6.628112793E-1,9.449264526E0
2.219543450E-1,-8.590240479E-1,6.436767578E-1,9.477966309E0
2.242736810E-1,-8.374938965E-1,6.316986084E-1,9.516250610E0
2.266235350E-1,-8.398742676E-1,6.101684570E-1,9.564117432E0
2.289428710E-1,-8.255310059E-1,5.766754150E-1,9.585647583E0
2.312927240E-1,-8.159484863E-1,5.551300049E-1,9.614364624E0
2.336120600E-1,-8.111724854E-1,5.407714844E-1,9.640686035E0
2.359619140E-1,-7.848510742E-1,5.479583740E-1,9.688537598E0
2.382812500E-1,-7.992095947E-1,5.383911133E-1,9.729217529E0
2.406311030E-1,-8.135528564E-1,5.240325928E-1,9.750747681E0
2.429809570E-1,-7.896270752E-1,5.192413330E-1,9.755538940E0
2.453002930E-1,-7.968139648E-1,5.359954834E-1,9.805786133E0
